Title,Instructor,Rating,Reviews,Time,Duration,Venue,Location,Tags,Price
Hot Yoga Sculpt,Emily Chen,4.7,"4,087",5:30 pm,45,FitHouse,Union Square,"Flexibility, Balance, Arms, Yoga",12
HIIT,Tatiana Lampa,4.7,"4,088",5:30 pm,50,FitHouse,Union Square,"Cardio, Strength Training",8
Body Combat Les Mills,Dima Sorokin,4.6,"4,231",5:30 pm,60,CompleteBody,Financial District,"Martial Arts, Strength Training, Boxing",9
Body Camp: SWEAT,Ava Fagin,4.9,"22,275",5:30 pm,60,Body Space Fitness,Union Square,Strength Training,8
Cyc,Jasmine Di Angelo,4.8,"37,019",5:30 pm,45,Cyc Fitness,Chelsea,"Cardio, Cycling",9
Mind Body Bootcamp,Alyssa D. Delmonico,4.8,"16,890",5:30 pm,50,Circuit of Change - Union Square,Union Square,Strength Training,11
Full Body Abs & Core,Radan Sturm,4.8,"27,245",5:30 pm,50,Liftonic,Greenwich Village,"Arms, Strength Training",9
SHADOWBOX - STANDARD,Kelli,4.9,"8,116",5:30 pm,45,Shadowbox,Flatiron,"Cardio, Arms, Boxing",18
Flywheel: Method 45,Steven Little,4.8,"50,974",5:30 pm,45,Flywheel Sports: Stadium Cycling,Chelsea,"Cardio, Cycling",14
cycle,LINDSEY,4.7,"27,426",5:30 pm,45,The Monster Cycle,Chelsea,"Cardio, Cycling",9
SLIDE,Chris Crowthers,4.8,"10,681",5:30 pm,50,Brrrn,Flatiron,"Pilates, Strength Training",8
Exhale HIIT,RaphaÃ«lle Kessedjian,4.8,"38,129",5:30 pm,50,exhale,Flatiron,,11
FlyFIT: Total Body 45 - *SHOES REQUIRED*,Alex Lyons,4.9,"34,455",5:30 pm,45,Flywheel Sports: Precision Training,Flatiron,Strength Training,15
Flywheel: Method 45,Kara Bocchi,4.8,"60,749",5:30 pm,45,Flywheel Sports: Stadium Cycling,Flatiron,"Cardio, Cycling",14
Hour L2,Karen Jane-Wright,4.8,"17,207",5:30 pm,60,Yogamaya New York,Chelsea,"Flexibility, Balance, Arms, Yoga",7
Afternoon Flow,Crystal Zeung,4.6,"2,898",5:30 pm,60,Atmananda East 23rd,Gramercy Park,Yoga,5
SCULPT,Madeline Wilcox,4.8,"31,815",5:30 pm,45,Uplift Studios,Flatiron,Strength Training,13
Yoga Nidra Relaxation |w Sri Dharma Mittra | Yoga Nidra Mattress to Rent,Dharma Mittra Mittra,4.7,"2,276",5:30 pm,60,Dharma Yoga New York Center,Flatiron,"Flexibility, Balance, Arms, Yoga",7
Power,Brian Krinsky,4.7,"25,778",5:30 pm,45,Row House,Chelsea,"Cardio, Arms, Core, Abs, Strength Training, Rowing, Boxing",10
Follow Along,Marie Hirko,4.9,"19,855",5:30 pm,60,DanceBody,NoMad,"Cardio, Flexibility, Balance, Dance",9
Basic 1hr 10min,Mary Molluso,4.8,"4,841",5:30 pm,70,Area Yoga,Brooklyn Heights,"Flexibility, Balance, Arms, Yoga",5
Intermediate Level Reformer,Bianca Falco,4.8,"13,355",5:30 pm,55,Brooklyn Heights Pilates,Brooklyn Heights,"Flexibility, Balance, Core, Abs, Pilates",9
Krav Maga Level 1,Jay Lee,4.9,"3,486",5:30 pm,60,Krav Maga Academy,Chelsea,Martial Arts,5
Reformer: All Levels (Broadway),Yunny Bisserette,4.9,"5,758",5:30 pm,55,East River Pilates,Williamsburg,"Flexibility, Balance, Core, Abs, Pilates",10
Exhale Barre,Julie Bobek,4.8,"23,875",5:30 pm,55,exhale,NoMad,,10
Intro to Aerojump + FORTE,Michael Olajide,4.8,"4,292",5:30 pm,45,Aerospace High Performance Center,Chelsea,"Cardio, Arms, Cycling, Strength Training, Boxing",8
Boot Camp,Alex Fell,5,"10,899",5:30 pm,60,Warrior Fitness Boot Camp,Williamsburg,Strength Training,12
"Work, Play, Slay",Yesenia D,4.8,"12,580",5:30 pm,45,Prime Cycle,Hoboken,"Cardio, Cycling",7
TH 101: Core,Solomon Bamiro,4.9,"15,141",5:30 pm,55,Tone House,NoMad,Strength Training,11
DanceWorks w/ Music,Tangela Wilson,4.5,"8,234",5:30 pm,45,YogaWorks,Brooklyn Heights,"Cardio, Flexibility, Balance, Dance",8
Hot Jiva Flow,Jeff Scios,4.9,"7,457",5:30 pm,60,Powerflow Yoga,Hoboken,"Flexibility, Balance, Arms, Yoga",3
Pure Barre,Ana Kayne,4.9,"16,122",5:30 pm,50,Pure Barre,Williamsburg,"Flexibility, Balance, Core, Abs, Barre",9
Unwind/Rewind [Intermediate | Reformer],Jamie Robinson,4.8,"3,183",5:30 pm,60,Physio Logic Pilates & Movement,Brooklyn Heights,"Flexibility, Balance, Core, Abs, Pilates",9
AB SALUTE 30,Coach Bakes,4.9,"9,281",5:30 pm,30,WRKNYC,Murray Hill,Strength Training,9
Flywheel: Method 45,Jason Ostrander,4.9,"41,769",5:30 pm,45,Flywheel Sports: Stadium Cycling,Williamsburg,"Cardio, Cycling",14
Full Body,Liz Bustle,4.8,"13,313",5:30 pm,60,Body by Simone,Chelsea,"Cardio, Flexibility, Balance, Dance",9
Pure Flow | Water Level,Danielle Maoli,4.7,"3,743",5:30 pm,60,Pavana Yoga,Hoboken,"Flexibility, Balance, Arms, Yoga",4
GOODTIMES FLOW,Jennifer Cook,4.8,"1,441",5:30 pm,65,Goodtimes Yoga,Williamsburg,"Flexibility, Balance, Arms, Yoga",6
Bar Express,Leah Garvey,4.8,"18,868",5:30 pm,45,The Bar Method,Cobble Hill,"Flexibility, Balance, Core, Abs, Barre",10
Strength Development Class (Upper),Sam Fick,4.9,"11,297",5:30 pm,60,The Training Lab,Midtown,Strength Training,9
Vinyasa,Lulu Soni,4.9,"9,058",5:30 pm,60,New Love City,Greenpoint,"Flexibility, Balance, Arms, Yoga",9
Jane DO: Step It Up,Cristin Van Horn,4.7,"1,794",5:30 pm,45,NEOU,Midtown,"Strength Training, Dance",8
Springboard: Pilates All Levels (N 11th),Brian Spencer,4.8,"4,644",5:30 pm,55,East River Pilates,Williamsburg,"Flexibility, Balance, Core, Abs, Pilates",10
High Intensity Training,Kevin Fonque,4.8,"1,832",5:30 pm,45,Intrepid Gym,Hoboken,Strength Training,4
MEGAFORMER,Nicol Traynor,4.9,"6,639",5:30 pm,45,8 Springs Studio,Jersey City,"Flexibility, Balance, Core, Abs, Pilates, Strength Training",9
YOGALATES-BURN,Madeleine Joyce,4.7,426,5:30 pm,50,BurnStrong,,"Yoga, Pilates",6
Floor Play,Lauren Bell,4.9,"9,891",5:30 pm,55,Jane DO,Hoboken,"Arms, Strength Training",5
CrossHIIT,none,4.7,673,5:30 pm,60,WillyB CrossFit,Williamsburg,Strength Training,9
Pilates,Yva Figueroa,4.7,917,5:30 pm,60,Yva Yoga,Bedford-Stuyvesant,Pilates,5
SLT â€“ All Levels,Cait Flood,4.9,264,5:30 pm,50,SLT,Hoboken,"Flexibility, Balance, Core, Abs, Pilates, Strength Training, Boxing",18
CrossHIIT,none,4.6,460,5:30 pm,60,WillyB CrossFit- Grand Street,Williamsburg,Strength Training,9
Quickie,Chase Connolly,4.9,"4,519",5:30 pm,60,Prema Yoga Brooklyn,Carroll Gardens,"Flexibility, Balance, Arms, Yoga",5
TROOPER MET CON CAMP,Jennifer Romanelli,4.9,"10,640",5:30 pm,60,Trooper Fitness,Midtown East,Cardio,8
Vinyasa - Open Level,Hana Ivandic,4.7,"3,916",5:30 pm,60,Yoga Spa Lounge 1881,Midtown East,"Flexibility, Balance, Arms, Yoga",5
Core Interval,Emily Comerford,4.8,"5,134",5:30 pm,45,EPIC Interval Training,Midtown East,Strength Training,10
POP Pilates,Caryn Cooper,4.6,"4,750",5:30 pm,60,Power Studios,Midtown East,Pilates,8
Total Body Circuit 50/10,Mike Montanez,5,"12,546",5:30 pm,60,Tabata Ultimate Fitness,Prospect Heights,Strength Training,6
Signature I,Emily W. Wolff,4.9,"47,321",5:30 pm,60,Physique 57,Midtown,"Flexibility, Balance, Core, Abs, Barre",12
Bloom-Level 2,Lauren Slivosky,4.9,"3,628",5:30 pm,60,Juniper,Prospect Heights,"Flexibility, Balance, Arms, Yoga",5
Burn,Kamaye S,4.7,"2,567",5:30 pm,45,The SweatShed,Midtown East,Strength Training,10
Exhale Barre,Sarah Ambrose,4.8,"35,901",5:30 pm,45,exhale,Midtown,"Flexibility, Balance, Arms, Yoga, Barre",11
Flywheel: Power 45,Justin Flexen,4.8,"40,532",5:30 pm,45,Flywheel Sports: Stadium Cycling,Upper East Side,"Cardio, Cycling",14
FlyBarre: Power 45,Karli Alvino,4.9,"27,574",5:30 pm,45,Flywheel Sports: Precision Training,Upper East Side,"Flexibility, Balance, Core, Abs, Barre",14
Stroke,Gretchen Raddatz,4.8,"15,030",5:30 pm,45,Row House,Upper West Side,"Cardio, Arms, Core, Abs, Rowing",10
All Flow,Melody Schroeer,4.8,"1,438",5:30 pm,65,Jai Yoga Arts,Bushwick,"Flexibility, Balance, Arms, Yoga",4
FlyBarre: Power 45,Michelle Rubich,4.8,"18,737",5:30 pm,45,Flywheel Sports: Precision Training,Upper East Side,"Flexibility, Balance, Core, Abs, Barre",14
Flywheel: Method 45,Alex Joy Pucci,4.8,"28,704",5:30 pm,45,Flywheel Sports: Stadium Cycling,Upper East Side,"Cardio, Cycling",14
Flywheel: Method 45,Davanna Law,4.8,"44,744",5:30 pm,45,Flywheel Sports: Stadium Cycling,Upper West Side,"Cardio, Cycling",15
Cyc45,Aaron Albert,4.8,"43,062",5:30 pm,45,Cyc Fitness,Upper East Side,"Cardio, Cycling",9
BFX PTC Endure,Melissa Chisholm,4.8,"8,796",5:30 pm,55,NYSC Lab (featuring BFX),Upper East Side,Strength Training,10
goodstretch E,Eliza Hansen,4.7,"1,542",5:30 pm,60,goodyoga,Bushwick,,5
Human Genome Center Barre,Leah Hassett,4.8,"30,837",5:30 pm,45,exhale,Upper East Side,Barre,11
Exhale Barre,Karen Greatti,4.8,"30,837",5:30 pm,55,exhale,Upper East Side,"Flexibility, Balance, Core, Abs, Barre",11
Signature II,Sade Bully,4.8,"50,147",5:30 pm,60,Physique 57,Upper West Side,"Flexibility, Balance, Core, Abs, Barre",12
Total Body/ Core,Magdi Farag,4.7,"4,172",5:30 pm,45,PushLab Fitness,Upper East Side,"Strength Training, Rowing",9
Flywheel: Method 45,Paige Festa,4.8,"27,641",5:30 pm,45,Flywheel Sports: Stadium Cycling,Upper West Side,"Cardio, Cycling",14
Hip Hop Wednesdays Vinyasa Yoga,Jo Murdock,4.8,"47,910",5:30 pm,60,Y7 Studio,Upper East Side,"Flexibility, Balance, Arms, Yoga",9
Yoga Basics,Amanda Vazquez,4.7,700,5:30 pm,60,Medicine for the Soul Yoga,Upper East Side,"Relaxation, Flexibility, Balance, Arms, Yoga",6
HIGH 45,Marni Wasserman,4.9,"4,620",5:30 pm,45,Mile High Run Club,Upper East Side,"Cardio, Running",11
Hot Vinyasa All Levels,Rebecca Ambrose,4.8,"14,866",5:30 pm,60,New York Yoga,Upper East Side,,8
Gyrokinesis (All Levels),Alexandra Ballard,4.8,34,5:30 pm,60,Kinespirit Riverside,Upper West Side,Strength Training,8
REFORMER,Sam Mitrani,none,none,5:30 pm,60,Mind Your Body,Ozone Park,"Flexibility, Balance, Core, Abs, Pilates",10
Crank Exhilarate,Annette Bristol,4.7,"15,751",5:30 pm,45,Crank Cycling Studio,Upper East Side,"Cardio, Cycling",7
Feldenkrais,Richard,4.3,"2,615",5:30 pm,60,West End Health & Fitness,Upper West Side,Strength Training,3
PELOTON RESERVATION,PELOTON .,4.6,345,5:30 pm,30,Vigorous Fitness Clubs,Middle Village,"Cardio, Cycling, Strength Training",4
Combine,Alexus Gordon,4.9,10,5:30 pm,45,Goal Mine Health Club,Dongan Hills,Strength Training,5
CrossFit,Edgar Vicioso,5,158,5:30 pm,60,Crossfit Concrete Jungle,South Bronx,Strength Training,7
Harlem Cycle Fundamentals (45mins),Shaun T.,4.9,"4,224",5:30 pm,45,Harlem Cycle,Harlem,"Cardio, Cycling",6
CrossFit WOD,none,5,9,5:30 pm,60,Crossfit Coney Island,,,6
Hot Vinyasa Vibe Sesssion,Michael Giaimo,4.9,81,5:30 pm,75,Good Vibes Yoga,,Yoga,3
Rev Rhythms,Megen Navone,4.7,389,5:30 pm,45,REV Cycle,Yonkers,"Cardio, Cycling",5
Yoga,Crystal Dodson,4.7,84,5:30 pm,45,DanceWarrior,West Orange,"Flexibility, Balance, Arms, Yoga",1
Cycle Sculpt,Louisa Corallo,4.8,328,5:30 pm,45,ZING Fitness Studios,Tenafly,"Cardio, Cycling",4
Beginner's Yoga Blend,Debra Alfano,4.6,7,5:30 pm,75,Fifth Element Yoga and Reiki,Dobbs Ferry,"Flexibility, Balance, Arms, Yoga",3
Strength Training,Joey Olivo,4.9,7,5:30 pm,60,Legacy Strength,Floral Park,Strength Training,4
Pure Barre,Sam Lamparello,4.7,"1,275",5:30 pm,50,Pure Barre,Millburn,,6
Bootcamp,Ariel Ochoa,4.9,11,5:30 pm,60,K-Fit Boutique Gym,,Strength Training,5
Pump,Meghan Barry,4.9,23,5:30 pm,55,P2,Little Falls,"Cardio, Arms, Cycling, Strength Training, Rowing",6
Mixed Levels Vinyasa Flow,Michele Maltese,4.5,99,5:30 pm,60,Bloom Yoga,Fair Lawn,"Flexibility, Balance, Arms, Yoga",3
Hip Hop (3rd-4th grade girls) SINGLE SEMESTER,Raina .,4.8,45,5:30 pm,60,Woodmere Fitness Club,Cedarhurst,Strength Training,4
BARRE SCULPT,Jamie Greer,5,81,5:30 pm,50,JBARRE STUDIO,Caldwell,"Flexibility, Balance, Core, Abs, Pilates, Strength Training, Barre, Boxing",4
TRX HIIT,Cindy Puleo,4.8,57,5:30 pm,45,Evolve Cycle and Fitness,,Strength Training,4
CardioWeights (upper body),Bryan T,4.6,139,5:30 pm,60,CardioYoga,Livingston,"Cardio, Strength Training",6
"FGLG ""HIIT""",Chris McCray,4.8,624,5:30 pm,60,Dimensional Training Studios,Garden City,"Cardio, Strength Training",5
Boxing 60,Harris James,4.9,251,5:30 pm,60,TITLE Boxing Club,Wayne,"Cardio, Arms, Boxing",4
Rumble (Boxing),none,4.5,42,5:30 pm,60,Synergy,Fairfield,"Cardio, Arms, Boxing",3
S-Flow,none,4.5,42,5:30 pm,60,Synergy,Fairfield,"Flexibility, Balance, Arms, Yoga",3
Hot Vinyasa & (OPTIONAL) Guided Meditation,Maura Duignan,4.7,843,5:30 pm,90,Balance Yoga & Wellness,Larchmont,"Relaxation, Flexibility, Balance, Arms, Meditation, Yoga",4
Full Body- (Hip Hop Wednesday),Meagan Robar - Studio Manager,4.9,"2,197",5:30 pm,50,[solidcore],Roslyn,"Pilates, Strength Training",10
Classic (45 Mins),Coco Xie,5,258,5:30 pm,45,CycleBar,Garden City,"Cardio, Cycling",6
Shaping (Upper Body),none,4.3,32,5:30 pm,45,Beautiful Bodies Boot Camp,Ho-Ho-Kus,Strength Training,1
Intermediate Reformer (Experience Required),Gail Dipalma,4.8,50,5:30 pm,50,Art of Pilates LI,Roslyn,"Flexibility, Balance, Core, Abs, Pilates",7
Flywheel: Method 45,Jessica Mikel-Bertolini,4.8,"5,656",5:30 pm,45,Flywheel Sports: Stadium Cycling,Scarsdale,"Cardio, Cycling",10
Bar Method - ALL LEVELS WELCOME,Jodie & Nikki,4.8,"1,880",5:30 pm,60,The Bar Method,Scarsdale,"Flexibility, Balance, Core, Abs, Barre",6
Push Max,Eddie Geideman,4.8,431,5:30 pm,45,Push Fitness of Westchester,Mamaroneck,"Cycling, Pilates, Strength Training",2
Circuit Boost,Helen Davis,4.8,168,5:30 pm,60,"Jennifer Garden Yoga, Pilates and Barre",Ardsley,"Cardio, Strength Training",6
BFX Build,Jenna Langhans,4.9,"40,061",5:35 pm,50,NYSC Lab (featuring BFX),Chelsea,Strength Training,9
trampoLEAN Total Body Burn,Louis Coraggio,4.7,"10,514",5:35 pm,50,trampoLEAN,Chelsea,Strength Training,9
"Plushfit-Arms, Abs",Phillip Shinn,4.7,"2,441",5:35 pm,55,Plush Fitness,NoMad,Strength Training,7
Open 1hr 10min,Gwen Kingston,4.7,"3,747",5:35 pm,70,Area Yoga,Carroll Gardens,"Flexibility, Balance, Arms, Yoga",5
BAGSxBODY,Jose Calderon,4.8,"31,810",5:40 pm,50,EverybodyFights,Midtown East,"Cardio, Arms, Boxing",10
"Chest, Back & Abs (60 Minutes)",Austin Cagley,4.9,"26,356",5:40 pm,60,Barry's Bootcamp,Upper East Side,"Cardio, Strength Training, Running",20
Hip Hop Wednesdays Vinyasa Yoga,Kate Sortino,4.8,"33,294",5:45 pm,60,Y7 Studio,SoHo,"Flexibility, Balance, Arms, Yoga",12
Boxing (All Levels),Katelyn 'Squat City' Hyman,4.8,"6,525",5:45 pm,55,WORK TRAIN FIGHT,NoHo,Boxing,10
Katonah Yoga,Abbie Galvin,4.9,"3,921",5:45 pm,75,The Studio,Bowery,"Flexibility, Balance, Arms, Yoga",7
Overthrow Underground Boxing,Julian D.,4.8,"46,572",5:45 pm,45,Overthrow Boxing Club,NoHo,"Cardio, Arms, Boxing",10
All Levels,Julie Pasqual,4.8,"2,266",5:45 pm,60,The Bhakti Center,Bowery,"Flexibility, Balance, Arms, Yoga",4
Beginner Salsa,Roberto Parris,4.7,"1,191",5:45 pm,60,The Studio at Primary,Financial District,"Cardio, Flexibility, Balance, Dance",5
Boxing,Emmanuel Walo,4.9,"2,610",5:45 pm,60,TITLE Boxing Club,Flatiron,"Cardio, Arms, Boxing",9
FHITpit FHIX,Ben Lauder-Dykes,4.9,"36,704",5:45 pm,50,The Fhitting Room,Flatiron,"Pilates, Strength Training",12
Bar Method,Marisa Sgroi,4.9,"9,786",5:45 pm,60,The Bar Method,Hoboken,"Flexibility, Balance, Core, Abs, Rowing, Barre",8
Surya Hot Flow,Dushyanthi Naveendra,4.8,"3,211",5:45 pm,60,Surya Yoga Academy,Hoboken,"Flexibility, Balance, Arms, Yoga",5
Hip Hop Wednesdays Vinyasa Yoga,Kristen Nichols,4.9,"30,922",5:45 pm,60,Y7 Studio,Williamsburg,"Flexibility, Balance, Arms, Yoga",9
Surya Hot Flow - Level 1,Angela Rauscher,4.8,"8,174",5:45 pm,60,Surya Yoga Academy,Jersey City,"Flexibility, Balance, Arms, Yoga",5
Surya Hot Flow,Malka Abreu,4.8,"4,631",5:45 pm,60,Surya Yoga Academy,Hoboken,"Flexibility, Balance, Arms, Yoga",4
Happy Hour Yoga - Level 2,Annie Hartkemeyer,4.7,"7,658",5:45 pm,60,mang'Oh yoga,Murray Hill,"Flexibility, Balance, Arms, Yoga",5
Hip Hop Wednesdays Vinyasa Yoga,Lauren Kornutik,4.8,"15,788",5:45 pm,60,Y7 Studio,Midtown,"Flexibility, Balance, Arms, Yoga",12
TRAINx360,Ricardo Rose,4.8,"31,810",5:45 pm,50,EverybodyFights,Midtown East,"Pilates, Strength Training, Rowing",10
Level 2,Liza Toft,4.8,"1,454",5:45 pm,90,Iyengar Yoga Institute of Brooklyn,Boerum Hill,"Flexibility, Balance, Arms, Yoga",7
RTL Barre,Emma Canalese,4.8,"4,610",5:45 pm,45,Return To Life Center,Midtown,,7
Vinyasa Yoga,Dashawn Peterson,4.7,"1,320",5:45 pm,60,Physical Equilibrium,Midtown,"Flexibility, Balance, Arms, Yoga",9
Boxing,Willie Parker,4.9,"22,776",5:45 pm,60,Title Boxing Club,Midtown East,"Cardio, Arms, Boxing",9
Arms & Abs in 30,Courtney T Tilford,4.9,"47,320",5:45 pm,30,Physique 57,Midtown,"Flexibility, Balance, Core, Abs, Pilates, Strength Training, Rowing, Barre",12
Exhale HIIT30,Kat Steers,4.8,"35,901",5:45 pm,30,exhale,Midtown,"Cardio, Strength Training, Barre",8
Power Vinyasa PM - HOT,Sandra Thelusmond,4.8,"11,359",5:45 pm,60,Earth Yoga,Upper East Side,"Flexibility, Balance, Arms, Yoga",6
FlyBarre: Classic 60,Amanda Burke,4.8,"22,012",5:45 pm,60,Flywheel Sports: Precision Training,Upper West Side,"Flexibility, Balance, Core, Abs, Barre",14
CKO Class,Patrick,4.7,"2,873",5:45 pm,60,CKO Kickboxing,Upper East Side,"Cardio, Arms, Boxing",15
Pure Hatha Yoga,MJ Watkins,4.8,"11,953",5:45 pm,60,NY Loves Yoga,Upper West Side,"Flexibility, Balance, Arms, Yoga",4
KickBoxing,Leah Roth,4.5,"2,268",5:45 pm,50,BodyStrength Fitness,Upper West Side,"Cardio, Arms, Boxing",5
Belly Dancing,Tess Rankin,4.8,"4,117",5:45 pm,60,Harlem Yoga Studio,Harlem,"Cardio, Flexibility, Balance, Dance, Barre",4
POLE JAM,NO INSTRUCTOR,4.6,854,5:45 pm,75,New York Pole Dancing,South Bronx,"Cardio, Flexibility, Balance, Dance",16
BOOT CAMP: Barre,Jazmin Aleman,4.8,517,5:45 pm,60,Sweet Water Dance & Yoga,Concourse Village,"Flexibility, Balance, Core, Abs, Barre",4
Gentle Warrior,Rose Sapiashvili,4.8,428,5:45 pm,90,BambooMoves Yoga,Englewood,"Flexibility, Balance, Arms, Yoga",3
Hot 26 Express (75 Min),Beth Smith,4.9,"1,069",5:45 pm,75,Zura,Montclair,"Flexibility, Balance, Arms, Yoga",3
Yoga for Athletes - Open Level,Tiffany Stokes-Dinkins,4.9,34,5:45 pm,75,Nueva Alma Yoga and Wellness,,"Flexibility, Balance, Arms, Yoga",4
barre3,Shardai Taylor,4.8,806,5:45 pm,60,barre3,Livingston,"Flexibility, Balance, Core, Abs, Barre",5
Disco Isn't Dead Connect Ride,Erica A Adams,4.8,"1,085",5:45 pm,45,CycleBar,Livingston,Cycling,7
Zapp Box & Fit,Dan Bulay,4.9,69,5:45 pm,30,Zapp Fitness,Livingston,"Strength Training, Boxing",3
Fab ABS,Harli Weitz,4.9,53,5:45 pm,30,Koko Fitclub,Long Beach,Strength Training,3
Level 2,Radhika Truffa,4.7,306,5:45 pm,75,Three Birds Yoga Studio,Florham Park,"Flexibility, Balance, Arms, Yoga",4
Group Training,Julio Mercado,4.5,22,5:50 pm,45,NJ Fitness Factory,,Strength Training,4
Pilates Reformer: Burnout,Meg Broome,4.9,"26,154",6:00 pm,50,New York Pilates,SoHo,"Flexibility, Balance, Core, Abs, Pilates",25
Reformer All Levels,Nikki K,4.8,"6,648",6:00 pm,60,BK Pilates,Tribeca,"Flexibility, Balance, Core, Abs, Pilates",11
Muay Thai - All Levels,Chris Kwiatkowski,4.7,"2,821",6:00 pm,60,Church St Boxing,Tribeca,"Cardio, Arms, Boxing",8
"SSL: Butt, Legs and Core",Joe Whittaker,4.8,"2,405",6:00 pm,45,Soho Strength Lab,NoLita,Strength Training,8
Top it Off,Vanita I,4.8,"13,023",6:00 pm,30,Crunch Gym,Tribeca,Strength Training,5
Dance Express,Julia Lumpkin,4.9,"4,064",6:00 pm,45,DanceBody,Tribeca,"Cardio, Flexibility, Balance, Dance",15
SKY TING Yoga,Kate Posch,4.9,"11,599",6:00 pm,60,SKY TING,Lower East Side,"Flexibility, Balance, Arms, Yoga",11
